data:text/csv;charset=utf-8,
year,occupation_family,occupation_group,average_age,average_wage,wage,jobs,average_establishment_size,color,icon,ID CBO
2003,"Trabalhadores Polivalentes de Animais","Trabalhadores Agropecuários, Florestais e da Pesca",46,714.91,557631.97,780,3,"#105B10","/static/img/icons/occupation_group/occupation_group_6.png","6230"
2003,"Operadores de Instalações de Gás","Trabalhadores da Indústria",37,300,600,2,2,"#FFC41C","/static/img/icons/occupation_group/occupation_group_8.png","8624"
2003,"Gerentes de Operações Comerciais","Dirigentes",38,1968.52,822844.91,418,4,"#752277","/static/img/icons/occupation_group/occupation_group_1.png","1414"
2003,"Profissionais de Estatística","Profissionais das Ciências e das Artes",45,2889.24,1222148.93,423,4,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2112"
2003,"Geógrafos","Profissionais das Ciências e das Artes",45,2362.06,467688.77,198,2,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2513"
2003,"Vendedores","Trabalhadores de Serviços e Comércio",37,512.64,564427.57,1101,4,"#17BCEF","/static/img/icons/occupation_group/occupation_group_5.png","5211"
2003,"Professores de Letras do Ensino Superior","Profissionais das Ciências e das Artes",43,1408.48,5556474.76,3945,20,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2346"
2003,"Cuidadores","Trabalhadores de Serviços e Comércio",36,521.73,4570889.52,8761,24,"#17BCEF","/static/img/icons/occupation_group/occupation_group_5.png","5162"
2003,"Técnicos em Próteses Ortopédicas","Técnicos de Nível Médio",39,651.16,593212.36,911,26,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3225"
2003,"Instaladores e Reparadores de Linhas de Comunicações","Trabalhadores Especializados da Produção",43,860.44,572195.96,665,2,"#9EDAE5","/static/img/icons/occupation_group/occupation_group_7.png","7321"
2003,"Editores","Profissionais das Ciências e das Artes",40,3072.69,304196.33,99,4,"#CC0000","/static/img/icons/occupation_group/occupation_group_2.png","2616"
2003,"Professores de Nível Médio no Ensino Profissionalizante","Técnicos de Nível Médio",42,1377.57,26065176.97,18921,120,"#D66011","/static/img/icons/occupation_group/occupation_group_3.png","3313"
